time,depth,N2_mean,CoM
2011-01-16 12:00:00,1993.0,1.6871347445995316e-05,0.3533043940933151
2011-02-15 00:00:00,1993.0,1.7144794544507916e-05,0.3540591973995212
2011-03-16 12:00:00,1993.0,1.725836269261517e-05,0.3550808194596427
2011-04-16 00:00:00,1993.0,1.721467611702096e-05,0.35568865044748593
2011-05-16 12:00:00,1993.0,1.706685323306281e-05,0.35533316328813264
2011-06-16 00:00:00,1993.0,1.6929741503381666e-05,0.3540163555637752
2011-07-16 12:00:00,1993.0,1.6957400282446593e-05,0.35250189640021
2011-08-16 12:00:00,1993.0,1.7120081357564557e-05,0.3518541341475913
2011-09-16 00:00:00,1993.0,1.7052206962871373e-05,0.3519896750680457
2011-10-16 12:00:00,1993.0,1.6864220654706027e-05,0.3527156939152447
2011-11-16 00:00:00,1993.0,1.6739181545174022e-05,0.3533956648167739
2011-12-16 12:00:00,1993.0,1.6685159520613184e-05,0.35342007849190343
2012-01-16 12:00:00,1993.0,1.691577437377751e-05,0.35382524855986447
2012-02-15 12:00:00,1993.0,1.7209913698153742e-05,0.3547036239972901
2012-03-16 12:00:00,1993.0,1.7275973199504538e-05,0.3557266680195847
2012-04-16 00:00:00,1993.0,1.7247346006601405e-05,0.3563082377222141
2012-05-16 12:00:00,1993.0,1.7138897642291326e-05,0.3561056367584073
